hh_id,name,link,sal_min,sal_max,valuta
46976462,Модель/фотомодель,https://spb.hh.ru/vacancy/46976462?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47293341,Дизайнер-модельер,https://spb.hh.ru/vacancy/47293341?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46988728,Модель,https://spb.hh.ru/vacancy/46988728?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,60000,140000,руб.
46993505,Модель / Блогер-модель,https://spb.hh.ru/vacancy/46993505?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,45000,75000,руб.
46955514,Модель,https://spb.hh.ru/vacancy/46955514?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,25000,90000,руб.
46615842,Модель на примерку женской одежды,https://spb.hh.ru/vacancy/46615842?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46687525,Модель Plus Size,https://spb.hh.ru/vacancy/46687525?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,90000,руб.
46560213,Модель для коммерческой съёмки,https://spb.hh.ru/vacancy/46560213?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,50000,руб.
46588280,Модель по примерке Love Republic,https://spb.hh.ru/vacancy/46588280?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
42325477,Модель/Ведущий TikTok,https://spb.hh.ru/vacancy/42325477?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46855122,Фотограф,https://spb.hh.ru/vacancy/46855122?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46770927,Модель-промоутер,https://spb.hh.ru/vacancy/46770927?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46528743,Модель по примерке мужской одежды,https://spb.hh.ru/vacancy/46528743?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
45824573,Модель,https://spb.hh.ru/vacancy/45824573?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46563610,Модель,https://spb.hh.ru/vacancy/46563610?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
45781494,Модель,https://spb.hh.ru/vacancy/45781494?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46687775,Модель с вальгусной деформацией стопы,https://spb.hh.ru/vacancy/46687775?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46630303,Дизайнер модельер,https://spb.hh.ru/vacancy/46630303?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46718370,Модельер одежды | Дизайнер одежды,https://spb.hh.ru/vacancy/46718370?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46531795,Промоутер-Модель,https://spb.hh.ru/vacancy/46531795?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,60000,90000,руб.
47192550,Модель для фотосъёмки,https://spb.hh.ru/vacancy/47192550?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47333689,Модельер-конструктор одежды,https://spb.hh.ru/vacancy/47333689?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46635644,Модельер-конструктор одежды,https://spb.hh.ru/vacancy/46635644?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
